"Country","Virus Name","Submitted"
"Jordan","hCoV-19/Jordan/MoH-532/2021","2021-11-17"
"Ethiopia","hCoV-19/Ethiopia/0893/2021","2021-11-10"
"Bulgaria","hCoV-19/Bulgaria/21BG-EU_008199_Pl77/2021","2021-11-09"
"Portugal","hCoV-19/Portugal/PT20161/2021","2021-11-09"
"Finland","hCoV-19/Finland/THL-202111162/2021","2021-11-05"
"Belize","hCoV-19/Belize/CML-175/2021","2021-11-03"
"Mozambique","hCoV-19/Mozambique/COV-2289-A1937/2021","2021-11-01"
"Oman","hCoV-19/Oman/52110256/2021","2021-10-27"
"Greece","hCoV-19/Greece/277337/2021","2021-10-18"
"Bosnia and Herzegovina","hCoV-19/Bosnia and Herzegovina/VFS-UNSA-LMGFI099/2021","2021-10-17"
"United Arab Emirates","hCoV-19/United Arab Emirates/BTC-5050/2021","2021-10-15"
"Croatia","hCoV-19/Croatia/9695/2021","2021-10-15"
"Suriname","hCoV-19/Suriname/SR-257/2021","2021-10-10"
"Seychelles","hCoV-19/Seychelles/SS480/2021","2021-10-06"
"Fiji","hCoV-19/Fiji/FJ063/2021","2021-10-04"
"Peru","hCoV-19/Peru/PIU-FPP04129/2021","2021-10-04"
"Vanuatu","hCoV-19/Vanuatu/VAN003/2020","2021-10-04"
"Rwanda","hCoV-19/Rwanda/CV2182/2021","2021-10-04"
"Nepal","hCoV-19/Nepal/CDBT-TU-S-212/2021","2021-10-01"
"Angola","hCoV-19/Angola/CERI-KRISP-K024616/2021","2021-09-30"
"Afghanistan","hCoV-19/Afghanistan/2870x0038_23891/2021","2021-09-29"
"Kosovo","hCoV-19/Kosovo/CO-00367-XXK000_9466/2021","2021-09-27"
"Sint Maarten","hCoV-19/Sint Maarten/SX-RIVM-59662/2021","2021-09-27"
"Vietnam","hCoV-19/Vietnam/NHTD-OUCRU0713/2021","2021-09-25"
"Mali","hCoV-19/Mali/MAL0146/2021","2021-09-17"
"Liberia","hCoV-19/Liberia/LIB-0221/2021","2021-09-16"
"South Sudan","hCoV-19/Kenya/ILRI_COVC23450/2021","2021-09-16"
"U.S. Virgin Islands","hCoV-19/U.S. Virgin Islands/VI-Yale-9569/2021","2021-09-15"
"Estonia","hCoV-19/Estonia/16783180/2021","2021-09-13"
"Guatemala","hCoV-19/Guatemala/3137/2021","2021-09-08"
"Slovakia","hCoV-19/Slovakia/UVZ_PL33_C9_16769/2021","2021-09-07"
"Northern Mariana Islands","hCoV-19/Northern Mariana Islands/MP-CDC-2-4813478/2021","2021-09-05"
"Iceland","hCoV-19/Iceland/11345/2021","2021-09-03"
"Somalia","hCoV-19/Somalia/NAMRU3_Mog_45/2021","2021-09-03"
"Togo","hCoV-19/Togo/NMIMR-21-TGS-088/2021","2021-09-03"
"Moldova","hCoV-19/Moldova/ICGEB_810376_S13/2021","2021-09-02"
"Niger","hCoV-19/Niger/CE4783A/2021","2021-08-31"
"Liechtenstein","hCoV-19/Liechtenstein/FL-Risch-2152300452/2021","2021-08-30"
"Montenegro","hCoV-19/Montenegro/CO-00366_MNE000_2596772102/2021","2021-08-26"
"French Guiana","hCoV-19/French Guiana/IPP20377/2021","2021-08-25"
"Maldives","hCoV-19/Maldives/MAV27895/2021","2021-08-23"
"North Macedonia","hCoV-19/North Macedonia/42821/2021","2021-08-21"
"Armenia","hCoV-19/Armenia/IMB5-7/2021","2021-08-20"
"Andorra","hCoV-19/Andorra/AND-235_2118213844_GC/2021","2021-08-13"
"Bonaire","hCoV-19/Bonaire/BQ-RIVM-46668/2021","2021-08-07"
"Curacao","hCoV-19/Curacao/CW-RIVM-46584/2021","2021-08-06"
"Uzbekistan","hCoV-19/Uzbekistan/415/2021","2021-08-02"
"Aruba","hCoV-19/Aruba/AW-RIVM-46331/2021","2021-07-30"
"Albania","hCoV-19/Albania/un-ChVir25862_20/2021","2021-07-29"
"Chad","hCoV-19/Chad/TCH-14/2021","2021-07-20"
"Singapore","hCoV-19/Singapore/1807/2021","2021-07-19"
"Democratic Republic of the Congo","hCoV-19/DRC/RDC-119/2021","2021-07-16"
"Grenada","hCoV-19/Grenada/75608/2021","2021-07-15"
"New Zealand","hCoV-19/New Zealand/21MV0575/2021","2021-07-15"
"Burundi","hCoV-19/Burundi/UG523/2021","2021-07-13"
"Dominica","hCoV-19/Dominica/54050/2021","2021-06-23"
"Honduras","hCoV-19/Honduras/326700/2021","2021-06-22"
"Trinidad and Tobago","hCoV-19/Trinidad and Tobago/66200/2021","2021-06-21"
"Montserrat","hCoV-19/Montserrat/53589/2021","2021-06-20"
"Myanmar","hCoV-19/Myanmar/DSMRC014/2021","2021-06-17"
"Monaco","hCoV-19/Monaco/CERBAHC-HTNG3AFX2-S63/2021","2021-06-16"
"Mayotte","hCoV-19/Mayotte/IPP13559/2021","2021-06-14"
"Wallis and Futuna Islands","hCoV-19/Wallis and Futuna/HCL021099348801/2021","2021-06-10"
"Bermuda","hCoV-19/Bermuda/51485/2021","2021-06-10"
"Anguilla","hCoV-19/Anguilla/60301/2021","2021-06-10"
"Central African Republic","hCoV-19/Central African Republic/24435/2021","2021-05-26"
"Faroe Islands","hCoV-19/Faroe Islands/HFS-201/2021","2021-05-20"
"Azerbaijan","hCoV-19/Azerbaijan/Aghayev-11/2021","2021-05-19"
"Guinea-Bissau","hCoV-19/Guinea Bissau/01LNSPGB/2021","2021-05-18"
"Equatorial Guinea","hCoV-19/Equatorial Guinea/93096/2021","2021-04-22"
"Hungary","hCoV-19/Hungary/7338_9/2021","2021-04-02"
